,job_id,job_desc,job_req,comp,address,sal_amt_min,sal_amt_max,sal_mid,sal_range,emp_type_clean,Professional,Executive,Manager,Fresh/entry level,Non-executive,job_title_clean,Information Technology,Engineering,Admin / Secretarial,Banking and Finance,Public / Civil Service,Advertising / Media ,Consulting ,Accounting / Auditing / Taxation,Logistics / Supply Chain,Others,Insurance,General Management,Sciences / Laboratory / R&D,Professional Services,Sales / Retail ,Customer Service,Education and Training,Telecommunications,Risk Management,Environment / Health  ,Healthcare / Pharmaceutical,Manufacturing,Building and Construction,Design,Repair and Maintenance,Marketing / Public Relations ,Travel / Tourism,Human Resources ,Legal,Events / Promotions ,General Work
0, JOB-2019-0019774 ,"Sky Premium International is looking for IT Executives to be part of an dynamic team to plan, develope, execute and deliver compelling and innovative data-driven solutions and reports to imporve our business operations and facilitate decision-making. Responsibilites :  - To mine, analyse and report data from the company-owned systems and databases, to support and drive decision making in terms of product development and product marketing. - To design, develop, build, execute, train, test, validate and implement data and machine learning models, for production, testing, proof-of-concepts (POCs) as well as demonstration purposes. - To design, develop, test, validate and implement static reports as well as dynamic dashboards, for production and testing. - To collect, consolidate, clean-up, structure and/or process data from various disparate structured, unstructured and/or incomplete data sets and data sources. - To write complex queries and/or scripts to perform data aggregation, extraction, transformation and load (ETL). - To verify deliverables against the agreed qualities and standards as per the approved specifications. - To arrange, coordinate and conduct user acceptance testing (UATs) and user training sessions, with involved stakeholders and end-users, and follow-up on reported data models, dashboards and/or reports related issues closely. - To create, update and maintain proper specifications, such as functional, technical, report and/or database specifications.","Requirements & Pre-Requisite : - Minimum a Degree in IT or Computer Science, or equivalent. - At least 3-5 years of experience working with MS Excel, SQL Server, MYSQL and/or NOSQL databases and database visualization tools (e.g. Tableau), is a must. - At least 3-5 years of programming experience in C#, Python and/or, with TSQL is a must. Experience with AWS and/or AZURE is required. - Good understanding of both relational database as well as non-relation database designs and concepts. - Able to communicate effectively, analytical with good time management, problem-solving and documentation skills.      ",SKY PREMIUM INTERNATIONAL PTE. LTD.,"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",2500.0,4000.0,3250.0,0.0,Permanent,0,1,0,0,0,data/business analyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1, JOB-2019-0091291 ,"•Frontline team members who have to mix solid understanding of the business goals and directions with a wide range of technical skills•Produce detailed analysis for business•Immersed in the data on a day-to-day basis (provide best insights into data quality and spark some of the best new ideas).•Report on data quality •Skilled in a wide range of data modeling and data Analytic tools•Experienced in ETL and have a working knowledge of the Big Data ecosystem  Tool: tableu, power BI  ","•Frontline team members who have to mix solid understanding of the business goals and directions with a wide range of technical skills•Produce detailed analysis for business•Immersed in the data on a day-to-day basis (provide best insights into data quality and spark some of the best new ideas).•Report on data quality •Skilled in a wide range of data modeling and data Analytic tools•Experienced in ETL and have a working knowledge of the Big Data ecosystem  Tool: tableau, power BI",CAPGEMINI SINGAPORE PTE. LTD.,6 BATTERY ROAD 049909,5000.0,7500.0,6250.0,0.0,Permanent,1,0,0,0,0,data/business analyst,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2, JOB-2019-0090798 ,"Location: Outram Salary: up to $14.50 per hour Responsibilities  Collecting and Centralizing data coming in from various activities including attendance, health and company. Understanding data needs from various stakeholders Cleaning and organizing data in a presentable manner for further analysis Create KPI reports with Powerbi periodically Create data visualizations and answer business questions  Communicate with various stakeholders on these insights and reports Develop new reports and dashboards to help users make faster and better decisions  Implement your own project to improve generating insights from a wide range of data   interested applicants may submit resume to jl@businessedge.com.sg","Required Knowledge and Experience  Diploma/Bachelor’s Degree in Statistics or Analytics   We welcome candidates who are currently studying part-time analytics degree.   0-2 years of experience as a Data Analyst High degree of skill in organizing data with Microsoft Excel Skilled in using Power BI (Preferred), Tableau Skilled in data organization and data presentation  Required Skills  Proficient Microsoft Excel skills: 2 years of frequent use in recent job (Required) Data analytics tools, e.g. Power BI, Tableau: 2 years of frequent use in recent job (Required) ",BUSINESS EDGE PERSONNEL SERVICES PTE LTD,"SINGAPORE SHOPPING CENTRE, 190 CLEMENCEAU AVENUE 239924",1800.0,2300.0,2050.0,0.0,Contract,0,1,0,0,0,data/business analyst,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3, JOB-2019-0090963 ,"Job Description   Responsibilities  Provide strategic and tactical guidance with respect to data warehousing best practices and attention to quality documentation. Manage both internal and external resources, timelines, and milestones across different business units and vendors. Responsible for designing and implementing detailed data warehouse models and data mappings etc. Able to hands-on on the ETL jobs and designing reports/dashboards. Resolving any and all issues throughout the SDLC. Perform performance optimization and tuning on new and/or existing data warehouse implementations. Provide detailed documentation, end user training and knowledge-transfer services to business users. Understand the data warehouse, data lake, big data, artificial intelligent knowledge and able to give advice to the best practices or solution. Continue professional and technical growth through corporate and personnel initiatives. ","Requirements  A Bachelor’s degree from an accredited college or university in Computer Science, Information Science, or related field. 2-3 years of experience in a data architecture role. Practical experience using ETL tool (Informatica, Data Stage, Talend, SSIS, or other). Talend experience is a plus Tableau experience is a plus Working knowledge of modeling tools (Erwin and/or Rational Rose) in addition to hands-on experience with business intelligence tools. Data profiling abilities. Expert knowledge of SQL and related SQL procedure languages. Excellent organizational, interpersonal, and oral/written communication skills. Experience in managing data warehouse project and lifecycle initiatives. Working knowledge of cloud platform (AWS, Azure, GCP etc). Experience working with BIGQUERY and Google Cloud Platform is a plus. Subject matter expertise in Airline is a plus. ",SCOOT TIGERAIR PTE. LTD.,"AIRLINE HOUSE, 25 AIRLINE ROAD 819829",,,,,Permanent,0,1,0,0,0,data/business analyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4, JOB-2019-0091477 ,The new hire will support a portfolio of applications in the above areas with the following key responsibilities:  Main focal point with Business Unit and Development/Vendor teams on initiatives - from conceptualization to implementation. Prepare SOW and Functional Specifications for business initiatives Manage budget and demand for initiatives and releases. Perform status reporting of initiatives and releases. Participate in review of system design.  Work with development & production support managers to ensure timely resolution to production issues.  ," At least 8-10 years’ experience in Wealth Management as a business analyst. Possess excellent verbal and written communication skills. Experience in project management will be added advantage. Familiar with Finacle, JBoss, Java, Apache Tomcat, Linux, Unix, Windows, Springboot, Springbatch, Spring-data, Angular JS for UI. Familiar with modern application design using micro-services and use of CI/CD tools such as GIT, JIRA. Previous hands-on experience in coding and have track record of successful implementations using these technologies. Knowledge of Agile methodologies.  ",DBS BANK LTD.,,7000.0,14000.0,10500.0,1.0,Permanent,1,0,1,0,0,data/business analyst,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5, JOB-2019-0090452 ,"Responsibilities You will be a member of the IT Group and will participate in the Technology Transformation to develop, innovate, enhance and manage technology related initiatives and applications in order to bring about more timely and effective capabilities to support MSF’s strategic goals.   Evaluate and recommend technology solutions, practices and trends such as viable technology platforms, data management and analytics solutions   Source for suitable solutions (any combination of solutions comprising hardware, software etc) to support MSF’s needs and assess how they can meet MSF’s needs   Lead the design and develop the Data architecture roadmap, including data modelling, metadata design and management, analytical data marts, data warehouse/lakes, Data Integration Processes, Database Resource Planning, Infrastructure Performance, Data Governance and Security Management as well as design, architecture, implementation, and documentation of scalable ETL processes, pipelines, pathways and dimensional data models.   Responsible for data profiling, data analysis, data specification, data flows mapping, business logic documentation associated with new or modified data capture requirements   Responsible for validating business and functional requirements of assigned projects. Participate and lead data requirement gathering sessions with subject matter experts, data analyst/scientists, user communities, and other IT stakeholders   Review functional specifications and detailed technical designs from vendors to ensure project requirements are addressed efficiently and design is scalable   Audit and QA data and processes to ensure data quality and integrity throughout the data ecosystem   Implement tools to support Data Governance roles and processes to accelerate adoption and Data Governance maturity   Work with Data Scientists, Researchers, Business Analysts, etc. to build scalable Data Analytics applications using advanced analytics.   Technical/Functional competencies required:    Tertiary qualifications in a related discipline, preferably in information systems, business analytics, computing science   At least 6-8 years of working experience in implementation of technology projects related to data modelling, data warehousing, data integration / ETL processes, data governance and data analytics, with good understanding of supporting technologies   Good knowledge and experience in data integration, data quality, data governance and database technologies   Relevant experience and knowledge of how people, process and technology can come together to enable advanced analytics, Data Science and data management will be an advantage   Generic Competencies required:   Comfortable working with multiple stakeholders   Ability to concurrently oversee multiple projects   Strong leadership, communication, project management and analytical skills  ",,Ministry of Social and Family Development,"MSF BUILDING, 512 THOMSON ROAD 298136",,,,,Contract,0,0,0,0,0,data architect/engineer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6, JOB-2019-0004573 ,"We are currently looking for a Senior Data Analyst/Scientist to be part of our Business Intelligence (B.I.) team. Reporting to the Chief Data Officer (CDO), you will work closely with internal teams to:  Initiate studies and implement algorithms and methods to take business advantage of new information and data. Build, test and deploy machine learning models to cater to the market intelligence tools offered by the company Refine the performance and accuracy of existing data models based on feedback Assist in general database administration  Expected Competencies: A fast, adaptive yet meticulous professional having the following qualities: 1. Business Acumen and Communication Skills The candidate has demonstrated experience working with the relevant stakeholders to leverage data science to identify new business opportunities or remedy process inefficiencies. 2. Programming Skills The candidate should have prior experience translating proposed technical solutions using computational methods and data science, while at the same time understanding their respective strengths/weaknesses and potential business trade-offs. 3. Technical Competency The candidate writes code according to best practices while meeting security standards and is able to translate complex datasets into strategic insights.","Requirements:  Minimum 2 years of relevant work experience with a degree in any quantitative or computational discipline Proficiency in SQL and Python Excellent communication and interpersonal skills An additional advantage for candidates with proven skills in data visualization, machine learning, or image analytics An additional advantage for candidates with full project life cycle exposure i.e. data collection, aggregation, analysis, visualization, productionization, and monitoring of data Science solutions ",STREETSINE SINGAPORE PTE. LTD.,"NEWS CENTRE, 1000 TOA PAYOH NORTH 318994",4000.0,8000.0,6000.0,0.0,Permanent,1,1,0,0,0,data/business analyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7, JOB-2019-0089696 ,"Data Analyst at Traveloka is at the forefront of using data for building value by discovering insights about businesses, product conversions, market behaviors, and others. You will be defining, collecting, processing, analyzing data across divisions and work with teams for driving the company, its products, and its operation forward through data.","We are looking for someone with:   Passion in data analysis, mathematics, statistics, modeling, or pattern recognition   Strong business acumen, able to translate data to business insights   Knowledge in data structures and algorithms for processing large data   3+ years of experience in data modeling   Strong analytical, mathematical, and communication skills   Critical thinking and strong attention to details   Bachelor's degree in technical major is preferred  ",TRAVELOKA SERVICES PTE. LTD.,,4300.0,7600.0,5950.0,0.0,Permanent,0,1,0,0,0,data/business analyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8, JOB-2019-0089321 ,"Responsible for programming and maintaining mobile game server-side game logic and infrastructure. Job level           :  Assistant Staff/Staff/Senior Staff Department     :  Operations Reports to        :  Technical Manager/Assoc. Director Responsibilities  Infrastructure Management  Be part of a team of server developers who help set up and maintain Amazon Web Services (EC2 Instances, S3, RDBS, etc.). Help implement and maintain RESTful Web APIs. Designing DB Architecture, DB Normalisation and general server Architectures. Payment services/Platform integration. Help manage RDBMS, SQL Queries, Stop procedures and NoSQL. Work with everyone from QA to system admins to fix bugs and resolve production issues in a timely manner. Collaborate with game SKUs leads in implementing technological best practices to improve development efficiency and quality       Data Management  Identify, troubleshoot, and resolve any performance, system or data related issues, and work to ensure data consistency and integrity Work with Product, Data Analyst and Marketing teams on data requirements.  Work with various game teams on data set and data flow to ensure that data requirements are met.   "," Coding/Scripting experience in languages such as Python, MEL, C#, C++, etc Experience in managing maintaining databases across multiple complex MySQL DBMS implementations. Excellent problem solving skills Have a good understanding of software development methodologies Strong understanding of CI/CD and the tools that facilitates this. (Jenkins, CC.net, GIT, Unit testing, etc) would be an added benefit Self-directed within a team context ",GUMI ASIA PTE. LTD.,"CONNEXIS, 1 FUSIONOPOLIS WAY 138632",5000.0,6500.0,5750.0,0.0,Permanent,0,1,0,0,0,data architect/engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9, JOB-2019-0089689 ,"You will be responsible for defining, collecting, processing, analyzing data across divisions and work with teams for driving the company, its products, and its operation forward through data. You will also be managing a team (or teams) of Data Analyst, growing and empowering them to accomplish great things, and ensuring that best practices, standards, and processes are adhered to.  You will roughly spend 60-80% time in hand-on Data Modeling, and 20-40% time in people management and coaching depending on team size. You will need to acquire contextual breadth and depth in your domain and manage stakeholders' expectations.  Working in Traveloka:  You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background.  We work in open environment where there are no boundaries or power distance.  Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.  Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products.  ","We are looking for someone with:  Passion in data analysis, mathematics, statistics, modeling, or pattern recognition Strong business acumen, able to translate data to business insights Knowledge in data structures and algorithms for processing large data 8+ years of experience in data modeling At least 3-5 years of technical leadership experience is preferred Strong analytical, mathematical, and communication skills Critical thinking and strong attention to details Bachelor's degree in technical major is preferred ",TRAVELOKA SERVICES PTE. LTD.,,8300.0,15000.0,11650.0,1.0,Permanent,0,0,1,0,0,others,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
